(VT("/net4") - VT("/net3")) X,(VT("/net4") - VT("/net3")) Y
1.015157434205642e-05,-0.0004989743624359555
1.015258298695068e-05,-0.0004986863503302352
1.015460027673921e-05,-0.0004981097019640668
1.015515117596918e-05,-0.0004979520811556615
1.015625297442911e-05,-0.0004976366536117993
1.015656453965771e-05,-0.0004975474124431223
1.015718767011493e-05,-0.0004973688706824131
1.015760604272241e-05,-0.0004972489799206503
1.015807317557109e-05,-0.0004971150246302347
1.015842063456321e-05,-0.0004970153575623026
1.015868362440529e-05,-0.0004969992046846006
1.015895001114966e-05,-0.0004969571779078752
1.015926523332666e-05,-0.0004968719912392672
1.015969082814363e-05,-0.0004967294315385562
1.016004019260755e-05,-0.0004966098725034396
1.016038981064187e-05,-0.0004964982922146532
1.016057516530365e-05,-0.0004964430616418714
1.016069859558222e-05,-0.0004964076627191893
1.016081080839238e-05,-0.0004963762020009366
1.016092212506253e-05,-0.0004963454207853601
1.016102154689259e-05,-0.0004963181111032888
1.016113601354955e-05,-0.0004962866935982468
1.016131696882722e-05,-0.000496236740149314
1.016145062882426e-05,-0.0004961994979610918
1.016157558446563e-05,-0.0004961643699057383
1.016171412014284e-05,-0.0004961250813990681
1.016187125825946e-05,-0.0004960801515614399
1.016206110091656e-05,-0.000496025508132103
1.016229964499713e-05,-0.0004959565586000192
1.016261119181191e-05,-0.0004958664222485254
1.016299859145703e-05,-0.0004957545409489672
1.016348631050689e-05,-0.0004956140440759427
1.016414386260503e-05,-0.0004954248443527209
1.016513036025406e-05,-0.0004951407846378597
1.016623740505318e-05,-0.0004948216072675482
1.016766193160645e-05,-0.0004944104851580811
1.016963468780565e-05,-0.0004938405105339161
1.017197266836215e-05,-0.0004931640099286039
1.017459641962721e-05,-0.0004924034982092262
1.017732465650407e-05,-0.0004916112244248705
1.017990003173113e-05,-0.0004908619647674417
1.018244135791528e-05,-0.0004901213022834305
1.018551092574461e-05,-0.0004892249544306004
1.019034224616841e-05,-0.0004878103282330848
1.019567112308421e-05,-0.0004862446017062094
1.0201e-05,-0.0004846732123622299
1.020180917585597e-05,-0.0004844340509344569
1.02026702543548e-05,-0.0004841794278114264
1.020382103094751e-05,-0.0004838389478256655
1.020571325701101e-05,-0.0004832785415322949
1.020949770913801e-05,-0.000482155600147971
1.021635174803418e-05,-0.000480114640197149
1.022671432496e-05,-0.0004770113913452612
1.024557590214262e-05,-0.0004713092347301551
1.028329905650786e-05,-0.0004597001847679305
1.035874536523834e-05,-0.0004356902926678785
1.045666249508032e-05,-0.000403034649116174
1.057689463600653e-05,-0.0003608011852793691
1.074120495063969e-05,-0.0002997230849262067
1.098157639130598e-05,-0.0002047528043471747
1.13691987951251e-05,-4.31420381450387e-05
1.18691987951251e-05,0.0001666229087289306
1.23691987951251e-05,0.0003600074927994079
1.28691987951251e-05,0.0005188601681702654
1.33691987951251e-05,0.0006277542343999798
1.38691987951251e-05,0.0006759477564404204
1.43691987951251e-05,0.0006585925277575733
1.48691987951251e-05,0.0005772605377103446
1.53691987951251e-05,0.0004398045328632971
1.58691987951251e-05,0.0002595910267484403
1.63691987951251e-05,5.418967903625393e-05
1.68691987951251e-05,-0.0001563495832495043
1.73691987951251e-05,-0.0003514620577309557
1.786919879512509e-05,-0.0005120837108241183
1.836919879512509e-05,-0.0006225192714064409
1.886919879512509e-05,-0.0006719801685575177
1.936919879512509e-05,-0.0006556418394405572
1.968459939756255e-05,-0.0006117638889635568
2e-05,-0.0005435494986893996
2.000005614809094e-05,-0.0005435351858245063
2.000009881600742e-05,-0.0005435243096016951
2.000018415184039e-05,-0.0005435025575630803
2.000035482350633e-05,-0.0005434590510684512
2.000065181510492e-05,-0.0005433833292520784
2.000114660329511e-05,-0.0005432571310071133
2.00021361796755e-05,-0.0005430045704242215
2.000411533243627e-05,-0.0005424988074211878
2.000807363795782e-05,-0.0005414847015132729
